Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence
Avantel,avantel.in,Hyderabad,Defense Electronics,Radars,,,,,,,,,,
Apollo Micro Systems,apollo-micro.com,Hyderabad,Defense Electronics,Avionics,,,,,,,,,,
High Energy Batteries,highenergy.co.in,Chennai,Battery Systems,Silver Zinc & Nickel Cadmium Batteries,Rs. 80-100 Cr,Dr. G.A. Pathanjali,MD,Ph.D. (Electrochemistry),10-Oct,Screener.in highlights physical battery manufacturing with robust capacity utilization metrics.,10-Oct,Public filings verify his background as a former ISRO scientist and technical expert.,10-Aug,Rising demand for specialized aerospace power systems drives moderate to high tailwinds.
Krishna Defence and Allied Industries,krishnaallied.com,Mumbai,Defense Metals,Special Steel,,,,,,,,,,
Mazda Ltd,mazdalimited.com,Ahmedabad,Engineering/Machinery,Vacuum Systems,,,,,,,,,,
Jash Engineering,jashindia.com,Indore,Machinery/Valves,Water Control Gates,,,,,,,,,,
Roto Pumps,rotopumps.com,Noida,Industrial Pumps,Progressive Cavity Pumps,Rs. 200-300 Cr,Harish Chandra Gupta,MD,B.E. (Mechanical),10-Oct,Screener.in verifies 100% physical manufacturing of pumps and components.,10-Oct,Company history and MCA filings confirm founder's technical engineering roots.,10-Aug,Steady industrial capex provides consistent structural tailwinds.
Taneja Aerospace and Aviation,taal.co.in,Pune,Aerospace,Aircraft Parts,,,,,,,,,,
Data Patterns (India),datapatternsindia.com,Chennai,Defense Electronics,Electronic Warfare,,,,,,,,,,
Ideaforge Technology,ideaforgetech.com,Mumbai,Drone Manufacturing,UAVs,,,,,,,,,,
Paras Defence and Space Technologies,parasdefence.com,Navi Mumbai,Defense & Space,Space Optics,,,,,,,,,,
Smruthi Organics,smruthiorganics.com,Solapur,Chemicals/APIs,Phama Intermediates,,,,,,,,,,
NGL Fine-Chem,nglfinechem.com,Mumbai,Animal Health Chemicals,Veterinary APIs,Rs. 250-350 Cr,Rahul Nachane,MD,B.Tech (Chemical),10-Oct,MCA data reveals multi-site physical chemical plants in Maharashtra.,10-Oct,LinkedIn corroborates chemical engineering background from UICT.,10-Aug,Rising global animal healthcare standards offer a robust growth runway.
Dharamsi Morarji Chemical Co,dmcc.com,Mumbai,Specialty Chemicals,Sulphur Chemistry,Rs. 300-400 Cr,Bimal Goculdas,MD,B.Tech (Chemical),10-Oct,Screener.in verifies continuous physical output of bulk and specialty chemicals.,10-Oct,Public executive profiles confirm a degree in Chemical Engineering.,10-Aug,Domestic agrochemical and pharma sector demand creates solid tailwinds.
Bhageria Industries,bhageriagroup.com,Mumbai,Chemicals,Dyes,,,,,,,,,,
Neogen Chemicals,neogenchem.com,Thane,Specialty Chemicals,Bromine & Lithium Compounds,Rs. 450-500 Cr,Dr. Haridas Kanani,CMD,B.Tech (Chemical) & Ph.D.,10-Oct,Screener.in financial ratios clearly indicate a capital-intensive manufacturing setup.,10-Oct,LinkedIn and company history show IIT Bombay chemical engineering roots.,10-Sep,EV battery localization drives massive demand for lithium compounds.
The Anup Engineering,anupengg.com,Ahmedabad,Heavy Engineering,Heat Exchangers,,,,,,,,,,
Kilburn Engineering,kilburnengg.com,Kolkata,Engineering,Industrial Drying Systems,Rs. 200-300 Cr,Ranjit Lala,MD,B.E. (Mechanical),10-Oct,Screener.in shows revenue exclusively derived from engineered physical equipment.,10-Oct,MCA director data and LinkedIn verify his engineering qualification.,10-Aug,Industrial automation and process optimization trends present clear tailwinds.
Menon Bearings,menonbearings.in,Kolhapur,Auto Parts,Engine Bearings,,,,,,,,,,
GRP Ltd,grpweb.com,Mumbai,Chemicals/Rubber,Reclaim Rubber,Rs. 400-500 Cr,Harsh Gandhi,Joint MD,B.E. (Chemical),10-Oct,MCA data highlights numerous rubber recycling and processing plants.,10-Oct,LinkedIn profile confirms chemical engineering education.,10-Aug,Sustainability and circular economy mandates offer strong macro support.
Igarashi Motors India,igarashimotors.com,Chennai,Auto Parts,DC Motors,Rs. 450-500 Cr,P. Mukund,MD,B.Tech (Electrical),10-Oct,Screener.in verifies high volume manufacturing of physical automotive motors.,10-Oct,Corporate filings confirm his B.Tech degree and engineering expertise.,10-Aug,Global auto electrification trends provide a solid runway.
Marine Electricals,marineelectricals.com,Mumbai,Electrical Equipment,Switchgears,,,,,,,,,,
Chemtech Industrial Valves,chemtechvalves.com,Mumbai,Machinery,Industrial Valves,Rs. 50-100 Cr,Ignatious Navil Noronha,MD,B.E. (Mechanical),10-Oct,Screener.in confirms physical valve manufacturing for heavy industries.,10-Oct,MCA data and executive profiles confirm his mechanical engineering background.,10-Jul,Steel and power sector capex provides steady demand.
Mangalam Organics,mangalamorganics.com,Mumbai,Chemicals,Terpene Chemistry,Rs. 300-400 Cr,Kamalkumar Dujodwala,Chairman,B.Sc (Chemistry),10-Oct,Screener.in proves chemical plant ownership and physical product sales.,10-Oct,Corporate governance files detail his technical chemistry background.,10-Jul,Domestic FMCG and pharma demand provides consistent tailwinds.
Lasa Supergenerics,lasalabs.com,Mumbai,Animal APIs,Veterinary APIs,Rs. 150-200 Cr,Omkar Herlekar,CMD,M.Sc (Chemistry),10-Oct,MCA records confirm API manufacturing facilities.,10-Oct,LinkedIn verifies his technical and scientific qualifications.,10-Aug,Global export opportunities in veterinary healthcare offer solid growth.
